Location,Tv,Air_conditioner,Refrigerator,Water_heater,Modern_Wardrobe,Back_up_power_supply,Gym,Elevator,Modernized_bathrooms,Room size,Number of people in a room,Historical pricing data,Current Price
Boadi,No,No,No,Yes,No,Yes,No,No,No,1,1,6210,8073.0
Kotei,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,1,6630,9282.0
Kotei,No,No,Yes,Yes,No,Yes,Yes,Yes,No,1,1,6610,9254.0
Kotei,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,4,4,3130,4382.0
Kotei,Yes,Yes,No,No,No,No,No,No,No,3,3,3700,5180.0
Newsite,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,2,4450,4895.0
Tech junction,Yes,Yes,Yes,No,No,No,Yes,No,Yes,4,4,3020,3926.0
Bomsu,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,6830,7513.000000000001
Boadi,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4,4,3170,4121.0
Tech junction,No,No,No,No,Yes,No,Yes,Yes,Yes,1,1,6460,8398.0
Tech junction,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,3,3,4230,5499.0
Newsite,Yes,No,Yes,Yes,No,No,Yes,No,No,2,2,4360,4796.0
Newsite,No,Yes,No,Yes,No,Yes,No,Yes,No,1,1,6510,7161.000000000001
Atonsu,Yes,No,No,Yes,Yes,No,Yes,Yes,No,3,3,4000,5200.0
Bomsu,No,No,Yes,Yes,No,Yes,Yes,No,No,1,1,6410,7051.000000000001
Bomsu,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,1,1,6610,7271.000000000001
Bomsu,Yes,Yes,No,Yes,No,Yes,Yes,No,No,2,2,4510,4961.0
Tech junction,Yes,No,Yes,Yes,Yes,Yes,No,No,No,3,3,3950,5135.0
Boadi,Yes,No,Yes,No,No,No,No,No,No,3,3,3700,4810.0
Kotei,Yes,Yes,No,Yes,Yes,No,No,No,Yes,1,1,6420,8988.0
Tech junction,No,Yes,Yes,Yes,No,No,Yes,No,No,4,4,2860,3718.0
Newsite,No,Yes,No,No,Yes,Yes,No,No,No,3,3,3790,4169.0
Atonsu,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3,3,4150,5395.0
Boadi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,1,6550,8515.0
Campus,No,No,Yes,No,Yes,No,No,No,Yes,1,1,6260,10016.0
Boadi,No,Yes,No,No,Yes,No,Yes,Yes,Yes,2,2,4560,5928.0
Tech junction,No,No,Yes,Yes,No,Yes,No,Yes,No,2,2,4510,5863.0
Bomsu,Yes,No,No,No,Yes,Yes,Yes,No,No,2,2,4390,4829.0
Atonsu,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,2,2,4600,5980.0
Bomsu,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,3,3,4160,4576.0
Newsite,Yes,No,No,No,Yes,No,No,Yes,No,1,1,6340,6974.000000000001
Boadi,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,4,4,3180,4134.0
Tech junction,Yes,No,No,No,No,Yes,No,Yes,Yes,1,1,6570,8541.0
Kotei,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4,4,3070,4298.0
Newsite,No,No,Yes,No,Yes,No,Yes,Yes,No,3,3,3940,4334.0
Campus,No,No,No,No,Yes,No,Yes,Yes,No,3,3,3840,6144.0
Bomsu,No,No,Yes,No,No,Yes,No,Yes,Yes,1,1,6570,7227.000000000001
Tech junction,No,No,Yes,No,No,Yes,No,No,Yes,4,4,2870,3731.0
Campus,Yes,No,No,No,Yes,Yes,No,Yes,No,3,3,3990,6384.0
Boadi,Yes,Yes,No,Yes,No,Yes,No,No,No,1,1,6410,8333.0
Newsite,No,Yes,Yes,Yes,No,Yes,No,Yes,No,1,1,6610,7271.000000000001
Bomsu,No,No,No,No,Yes,Yes,No,No,Yes,4,4,2810,3091.0000000000005
Atonsu,Yes,No,Yes,Yes,No,No,Yes,No,Yes,4,4,2980,3874.0
Campus,No,Yes,No,No,Yes,No,Yes,No,Yes,1,1,6360,10176.0
Atonsu,No,Yes,Yes,Yes,No,No,Yes,No,Yes,4,4,2980,3874.0
Ayeduase,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,1,1,6520,9780.0
Boadi,Yes,Yes,Yes,No,No,Yes,No,No,Yes,3,3,4070,5291.0
Newsite,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,1,6550,7205.000000000001
Kotei,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,4,4,3110,4354.0
Newsite,Yes,Yes,No,No,No,Yes,Yes,No,No,3,3,3950,4345.0
Atonsu,No,Yes,Yes,Yes,No,No,No,No,Yes,4,4,2880,3744.0
Ayeduase,No,No,Yes,Yes,Yes,Yes,No,No,No,2,2,4350,6525.0
Kotei,No,No,No,No,Yes,No,No,No,Yes,4,4,2660,3723.9999999999995
Campus,No,No,No,No,No,Yes,No,No,Yes,4,4,2770,4432.0
Bomsu,Yes,No,No,No,Yes,Yes,No,Yes,No,3,3,3990,4389.0
Bomsu,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,4,4,3050,3355.0000000000005
Tech junction,No,Yes,No,No,Yes,No,Yes,Yes,No,3,3,3940,5122.0
Ayeduase,No,Yes,No,Yes,Yes,Yes,Yes,No,No,3,3,3950,5925.0
Newsite,Yes,Yes,No,No,No,No,No,No,Yes,4,4,2820,3102.0000000000005
Newsite,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,3,4230,4653.0
Kotei,No,Yes,No,Yes,No,No,Yes,No,No,4,4,2760,3863.9999999999995
Newsite,No,No,Yes,No,No,No,No,No,No,4,4,2600,2860.0000000000005
Boadi,No,Yes,No,Yes,No,No,No,Yes,No,1,1,6360,8268.0
Bomsu,Yes,Yes,No,Yes,No,No,No,Yes,Yes,3,3,4080,4488.0
Kotei,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,6870,9618.0
Boadi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,4,3310,4303.0
Atonsu,No,Yes,No,Yes,Yes,No,Yes,No,No,3,3,3800,4940.0
Ayeduase,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4,4,3200,4800.0
Ayeduase,No,No,Yes,Yes,No,No,Yes,Yes,No,1,1,6460,9690.0
Ayeduase,Yes,No,No,Yes,No,No,No,Yes,Yes,2,2,4480,6720.0
Newsite,Yes,No,Yes,Yes,Yes,No,No,No,Yes,3,3,3920,4312.0
Bomsu,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,2,4750,5225.0
Bomsu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,6850,7535.000000000001
Newsite,Yes,Yes,No,No,No,Yes,No,Yes,Yes,3,3,4170,4587.0
Campus,No,No,No,Yes,Yes,Yes,No,Yes,Yes,3,3,4070,6512.0
Bomsu,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,3,3,4020,4422.0
Newsite,No,No,No,Yes,No,Yes,Yes,Yes,No,3,3,4010,4411.0
Tech junction,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3,3,4270,5551.0
Boadi,No,Yes,No,Yes,Yes,No,No,Yes,No,2,2,4400,5720.0
Boadi,Yes,No,Yes,Yes,No,Yes,Yes,No,No,1,1,6510,8463.0
Bomsu,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,3,3,4130,4543.0
Bomsu,No,No,No,Yes,No,Yes,Yes,Yes,No,3,3,4010,4411.0
Campus,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,3,3,4110,6576.0
Campus,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,4210,6736.0
Ayeduase,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,4,4,3170,4755.0
Campus,No,No,No,No,Yes,No,No,No,Yes,1,1,6160,9856.0
Tech junction,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,1,6650,8645.0
Atonsu,No,Yes,No,No,No,Yes,No,Yes,No,4,4,2950,3835.0
Kotei,No,Yes,No,No,Yes,No,No,No,Yes,3,3,3760,5264.0
Kotei,No,No,Yes,Yes,Yes,Yes,No,No,No,4,4,2850,3989.9999999999995
Kotei,Yes,No,No,Yes,Yes,No,Yes,Yes,No,2,2,4500,6300.0
Boadi,Yes,No,No,Yes,Yes,No,Yes,Yes,No,4,4,3000,3900.0
Boadi,Yes,No,Yes,No,Yes,No,No,Yes,No,4,4,2940,3822.0
Bomsu,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,4,4,3070,3377.0000000000005
Atonsu,No,Yes,No,No,No,Yes,No,No,Yes,4,4,2870,3731.0
Ayeduase,No,Yes,Yes,No,Yes,No,Yes,No,No,1,1,6340,9510.0
Boadi,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,3,3,4080,5304.0
Campus,No,No,Yes,No,No,Yes,No,Yes,Yes,1,1,6570,10512.0
Bomsu,Yes,No,No,No,Yes,No,No,No,No,3,3,3640,4004.0000000000005
Boadi,No,No,No,No,Yes,No,Yes,Yes,Yes,1,1,6460,8398.0
Bomsu,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,4,4,3110,3421.0000000000005
Campus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,3,3,4020,6432.0
Ayeduase,Yes,Yes,No,Yes,Yes,No,Yes,No,No,4,4,2900,4350.0
Kotei,Yes,Yes,Yes,No,Yes,No,No,No,No,3,3,3840,5376.0
Campus,Yes,Yes,No,Yes,No,No,No,Yes,No,4,4,2960,4736.0
Bomsu,No,No,Yes,No,No,No,No,Yes,Yes,3,3,3920,4312.0
Boadi,No,No,Yes,Yes,No,No,No,Yes,No,1,1,6360,8268.0
Tech junction,No,No,No,Yes,Yes,No,No,Yes,Yes,2,2,4420,5746.0
Boadi,No,No,Yes,Yes,Yes,No,No,Yes,No,3,3,3900,5070.0
Boadi,No,No,Yes,Yes,No,Yes,Yes,No,Yes,3,3,4030,5239.0
Bomsu,Yes,Yes,No,Yes,No,No,No,Yes,Yes,1,1,6580,7238.000000000001
Tech junction,No,No,No,Yes,No,Yes,Yes,No,Yes,1,1,6430,8359.0
Boadi,Yes,No,No,No,No,Yes,No,Yes,No,3,3,3950,5135.0
Tech junction,No,Yes,No,Yes,No,Yes,No,Yes,No,2,2,4510,5863.0
Kotei,No,No,No,Yes,Yes,Yes,No,Yes,Yes,2,2,4570,6398.0
Bomsu,No,No,No,No,Yes,No,No,No,No,4,4,2540,2794.0
Campus,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,3270,5232.0
Atonsu,Yes,No,No,Yes,Yes,No,No,Yes,Yes,3,3,4020,5226.0
Newsite,Yes,No,No,No,No,Yes,Yes,Yes,No,1,1,6550,7205.000000000001
Boadi,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,3,3,4190,5447.0
Atonsu,Yes,No,No,Yes,No,No,No,No,No,4,4,2660,3458.0
Newsite,Yes,No,No,No,No,No,Yes,No,No,2,2,4200,4620.0
Newsite,No,No,Yes,No,No,Yes,Yes,Yes,Yes,2,2,4670,5137.0
Kotei,No,Yes,Yes,No,Yes,No,No,Yes,No,2,2,4440,6216.0
Campus,No,No,Yes,No,No,Yes,No,No,Yes,3,3,3870,6192.0
Bomsu,No,No,No,No,Yes,No,No,Yes,Yes,2,2,4360,4796.0
Boadi,No,Yes,Yes,No,Yes,No,No,No,No,2,2,4240,5512.0
Atonsu,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3,3,4210,5473.0
Tech junction,No,No,Yes,No,Yes,No,Yes,Yes,Yes,2,2,4560,5928.0
Atonsu,Yes,No,No,Yes,Yes,No,No,No,Yes,3,3,3820,4966.0
Ayeduase,No,No,Yes,Yes,Yes,Yes,No,No,Yes,1,1,6470,9705.0
Kotei,No,No,Yes,Yes,Yes,No,Yes,Yes,No,4,4,3000,4200.0
Kotei,Yes,Yes,No,Yes,No,No,No,Yes,No,3,3,3960,5544.0
Atonsu,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2,2,4480,5824.0
Boadi,No,Yes,Yes,Yes,Yes,No,No,No,No,4,4,2800,3640.0
Newsite,No,No,Yes,Yes,Yes,No,No,No,No,2,2,4200,4620.0
Newsite,Yes,No,No,Yes,Yes,No,Yes,No,No,3,3,3800,4180.0
Atonsu,Yes,No,Yes,Yes,No,Yes,No,No,Yes,4,4,3030,3939.0
Tech junction,No,Yes,No,Yes,No,No,Yes,No,Yes,4,4,2880,3744.0
Ayeduase,No,No,No,Yes,No,No,No,Yes,No,2,2,4260,6390.0
Atonsu,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,4370,5681.0
Tech junction,Yes,Yes,Yes,Yes,No,No,No,No,No,2,2,4360,5668.0
Ayeduase,No,Yes,No,Yes,No,Yes,No,No,Yes,2,2,4430,6645.0
Boadi,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,1,6500,8450.0
Atonsu,Yes,No,Yes,No,Yes,No,No,No,No,3,3,3740,4862.0
Campus,Yes,No,Yes,Yes,No,Yes,No,No,Yes,4,4,3030,4848.0
Atonsu,Yes,No,No,No,No,No,No,No,Yes,2,2,4220,5486.0
Atonsu,No,No,No,Yes,Yes,No,No,Yes,Yes,3,3,3920,5096.0
Campus,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,3,3,4120,6592.0
Tech junction,Yes,Yes,No,Yes,Yes,Yes,No,No,No,2,2,4450,5785.0
Boadi,No,Yes,Yes,No,No,Yes,Yes,No,No,2,2,4450,5785.0
Boadi,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,4,4,3180,4134.0
Kotei,No,No,Yes,Yes,No,No,Yes,Yes,No,3,3,3960,5544.0
Campus,No,No,Yes,Yes,No,No,No,Yes,No,2,2,4360,6976.0
Ayeduase,No,No,No,No,No,No,Yes,Yes,No,4,4,2800,4200.0
Atonsu,No,Yes,No,No,No,No,Yes,Yes,No,4,4,2900,3770.0
Kotei,Yes,Yes,Yes,No,Yes,Yes,No,No,No,2,2,4490,6286.0
Newsite,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,3,3,4220,4642.0
Kotei,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2,2,4710,6594.0
Campus,No,No,No,Yes,Yes,Yes,No,No,No,4,4,2750,4400.0
Tech junction,Yes,No,Yes,No,No,Yes,No,Yes,Yes,1,1,6670,8671.0
Tech junction,Yes,Yes,No,No,No,No,Yes,Yes,No,3,3,4000,5200.0
Kotei,No,Yes,No,No,Yes,No,No,No,Yes,2,2,4260,5964.0
Newsite,Yes,Yes,Yes,No,No,Yes,No,No,Yes,3,3,4070,4477.0
Kotei,No,No,Yes,No,No,No,Yes,Yes,Yes,1,1,6520,9128.0
Newsite,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,4,4,3120,3432.0000000000005
Campus,Yes,Yes,Yes,No,No,No,Yes,No,Yes,1,1,6520,10432.0
Ayeduase,Yes,Yes,No,Yes,Yes,No,Yes,No,No,3,3,3900,5850.0
Atonsu,No,Yes,Yes,No,Yes,No,No,No,Yes,3,3,3860,5018.0
Kotei,Yes,No,Yes,No,No,No,No,No,No,4,4,2700,3779.9999999999995
Campus,Yes,Yes,Yes,No,No,Yes,No,Yes,No,4,4,3150,5040.0
Newsite,Yes,Yes,No,Yes,No,Yes,No,No,Yes,3,3,4030,4433.0
Kotei,Yes,Yes,No,No,No,Yes,No,No,No,2,2,4350,6090.0
Ayeduase,No,Yes,Yes,No,No,No,Yes,No,No,3,3,3800,5700.0
Kotei,No,Yes,No,No,Yes,Yes,No,Yes,No,1,1,6490,9086.0
Bomsu,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4,4,3310,3641.0000000000005
Atonsu,No,Yes,No,No,Yes,No,Yes,Yes,Yes,3,3,4060,5278.0
Tech junction,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2,2,4690,6097.0
Tech junction,No,No,Yes,No,No,Yes,Yes,No,Yes,1,1,6470,8411.0
Newsite,Yes,No,Yes,Yes,Yes,No,No,No,No,4,4,2800,3080.0000000000005
Boadi,Yes,No,Yes,No,No,Yes,No,Yes,No,4,4,3050,3965.0
Kotei,No,Yes,No,Yes,Yes,No,No,No,No,4,4,2700,3779.9999999999995
Boadi,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,4,4,3100,4030.0
Bomsu,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2,2,4910,5401.0
Campus,Yes,Yes,No,No,No,No,No,No,No,4,4,2700,4320.0
Campus,No,Yes,Yes,No,Yes,Yes,Yes,No,No,1,1,6490,10384.0
Newsite,Yes,No,Yes,Yes,No,Yes,No,No,Yes,2,2,4530,4983.0
Kotei,No,No,Yes,No,No,Yes,No,No,No,3,3,3750,5250.0
Campus,No,Yes,No,No,Yes,No,No,No,Yes,4,4,2760,4416.0
Newsite,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,4,4,3020,3322.0000000000005
Ayeduase,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,1,1,6570,9855.0
Newsite,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2,2,4810,5291.0
Ayeduase,Yes,Yes,No,No,Yes,Yes,No,No,Yes,3,3,4010,6015.0
Campus,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,3170,5072.0
Ayeduase,No,Yes,No,Yes,Yes,No,No,Yes,Yes,1,1,6520,9780.0
Boadi,Yes,No,Yes,No,No,No,No,No,No,1,1,6200,8060.0
Atonsu,No,No,No,No,Yes,No,No,No,Yes,4,4,2660,3458.0
Newsite,Yes,Yes,Yes,No,No,No,Yes,No,Yes,4,4,3020,3322.0000000000005
Atonsu,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3,3,4040,5252.0
Bomsu,No,Yes,No,No,Yes,No,Yes,No,Yes,2,2,4360,4796.0
Tech junction,Yes,Yes,No,No,Yes,No,No,No,No,1,1,6240,8112.0
Bomsu,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,1,1,6650,7315.000000000001
Atonsu,No,Yes,No,No,No,No,Yes,Yes,Yes,2,2,4520,5876.0
Boadi,Yes,No,Yes,Yes,No,No,No,Yes,No,3,3,3960,5148.0
Campus,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,2,2,4720,7552.0
Bomsu,No,No,Yes,Yes,Yes,Yes,No,No,No,3,3,3850,4235.0
Boadi,Yes,Yes,No,No,No,No,Yes,Yes,Yes,2,2,4620,6006.0
Newsite,Yes,No,No,No,No,No,No,Yes,No,4,4,2800,3080.0000000000005
Bomsu,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,4310,4741.0
Kotei,Yes,Yes,Yes,No,No,No,No,No,No,4,4,2800,3919.9999999999995
Boadi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3370,4381.0
Tech junction,Yes,Yes,Yes,Yes,No,No,No,No,Yes,3,3,3980,5174.0
Ayeduase,Yes,No,Yes,Yes,Yes,No,No,Yes,No,2,2,4500,6750.0
Campus,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,2,2,4710,7536.0
Campus,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,1,1,6610,10576.0
Newsite,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,2,4770,5247.0
Boadi,Yes,Yes,No,No,No,Yes,No,Yes,Yes,2,2,4670,6071.0
Ayeduase,No,No,No,Yes,No,Yes,Yes,Yes,Yes,4,4,3130,4695.0
Boadi,Yes,No,Yes,No,Yes,No,No,No,Yes,1,1,6360,8268.0
Ayeduase,No,No,Yes,Yes,No,No,Yes,Yes,Yes,1,1,6580,9870.0
Campus,Yes,No,Yes,No,No,No,No,No,Yes,1,1,6320,10112.0
Ayeduase,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4,4,3310,4965.0
Boadi,No,No,Yes,No,Yes,Yes,Yes,No,No,2,2,4390,5707.0
Bomsu,No,No,No,No,No,No,No,No,Yes,3,3,3620,3982.0000000000005
Kotei,No,Yes,No,Yes,No,Yes,No,Yes,No,1,1,6510,9114.0
Tech junction,No,No,Yes,Yes,Yes,No,Yes,Yes,No,4,4,3000,3900.0
Atonsu,Yes,No,No,Yes,Yes,Yes,Yes,No,No,4,4,2950,3835.0
Campus,No,No,No,Yes,Yes,No,Yes,No,Yes,2,2,4320,6912.0
Ayeduase,No,No,No,Yes,No,Yes,No,Yes,No,3,3,3910,5865.0
Ayeduase,Yes,No,Yes,No,No,Yes,No,No,No,4,4,2850,4275.0
Campus,No,Yes,No,Yes,No,No,Yes,Yes,Yes,2,2,4580,7328.0
Campus,No,Yes,Yes,Yes,Yes,No,No,Yes,No,2,2,4500,7200.0
Kotei,No,No,No,No,No,Yes,No,No,No,2,2,4150,5810.0
Kotei,Yes,No,No,Yes,Yes,No,Yes,No,Yes,3,3,3920,5488.0
Boadi,Yes,No,No,No,No,Yes,No,No,No,3,3,3750,4875.0
Ayeduase,No,No,Yes,Yes,Yes,No,No,Yes,Yes,1,1,6520,9780.0
Kotei,No,Yes,No,No,Yes,No,No,No,No,4,4,2640,3695.9999999999995
Bomsu,No,No,No,Yes,Yes,Yes,No,Yes,No,2,2,4450,4895.0
Atonsu,No,No,Yes,Yes,No,Yes,Yes,No,Yes,1,1,6530,8489.0
Newsite,No,No,No,No,No,No,Yes,No,No,2,2,4100,4510.0
Newsite,No,Yes,No,Yes,Yes,No,No,No,Yes,3,3,3820,4202.0
Atonsu,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,2,4770,6201.0
Bomsu,No,No,No,No,No,No,No,No,Yes,3,3,3620,3982.0000000000005
Bomsu,Yes,No,Yes,Yes,Yes,No,No,No,No,1,1,6300,6930.000000000001
Boadi,No,No,No,No,No,Yes,Yes,Yes,Yes,4,4,3070,3991.0
Newsite,No,Yes,No,No,Yes,No,No,Yes,No,2,2,4340,4774.0
Newsite,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3,3,4170,4587.0
Campus,Yes,Yes,No,No,No,Yes,Yes,No,Yes,3,3,4070,6512.0
Atonsu,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,1,1,6690,8697.0
Campus,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,3,3950,6320.0
Campus,No,No,No,Yes,Yes,Yes,No,No,No,4,4,2750,4400.0
Atonsu,Yes,No,Yes,No,Yes,Yes,Yes,No,No,3,3,3990,5187.0
Boadi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4,4,3270,4251.0
Bomsu,Yes,Yes,No,No,No,Yes,Yes,No,Yes,1,1,6570,7227.000000000001
Kotei,Yes,No,Yes,Yes,No,No,Yes,No,Yes,4,4,2980,4172.0
Campus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,6850,10960.0
Atonsu,Yes,No,Yes,No,No,No,No,No,No,1,1,6200,8060.0
Atonsu,Yes,No,Yes,No,Yes,No,No,Yes,No,4,4,2940,3822.0
Campus,Yes,Yes,No,No,No,Yes,Yes,Yes,No,3,3,4150,6640.0
Atonsu,Yes,Yes,No,No,Yes,Yes,No,No,Yes,1,1,6510,8463.0
Newsite,No,No,Yes,No,Yes,No,Yes,No,Yes,3,3,3860,4246.0
Bomsu,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,1,1,6620,7282.000000000001
Tech junction,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,1,6820,8866.0
Kotei,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,4,3230,4522.0
Bomsu,No,Yes,No,No,No,Yes,No,No,No,3,3,3750,4125.0
Kotei,Yes,Yes,No,Yes,No,No,No,No,No,1,1,6260,8764.0
Bomsu,No,Yes,No,Yes,No,Yes,No,No,No,3,3,3810,4191.0
Bomsu,Yes,Yes,Yes,No,Yes,No,No,Yes,No,2,2,4540,4994.0
Kotei,Yes,Yes,Yes,No,No,Yes,No,Yes,No,2,2,4650,6510.0
Ayeduase,No,No,No,No,No,Yes,Yes,No,No,1,1,6250,9375.0
Boadi,No,Yes,No,No,No,No,No,Yes,Yes,4,4,2920,3796.0
Boadi,No,No,No,Yes,Yes,No,No,Yes,No,4,4,2800,3640.0
Atonsu,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,1,6790,8827.0
Atonsu,Yes,No,No,Yes,Yes,No,Yes,No,No,3,3,3800,4940.0
Campus,No,Yes,No,Yes,Yes,No,No,Yes,Yes,4,4,3020,4832.0
Campus,No,Yes,No,No,Yes,No,Yes,No,Yes,1,1,6360,10176.0
Bomsu,No,No,No,No,No,No,No,Yes,Yes,1,1,6320,6952.000000000001
Ayeduase,Yes,No,Yes,Yes,No,Yes,No,No,Yes,3,3,4030,6045.0
Boadi,No,Yes,No,Yes,Yes,No,No,Yes,No,4,4,2900,3770.0
Bomsu,Yes,Yes,Yes,No,No,No,No,No,Yes,2,2,4420,4862.0
Boadi,No,No,No,No,Yes,No,Yes,Yes,No,2,2,4340,5642.0
Boadi,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,1,1,6770,8801.0
Campus,No,Yes,Yes,Yes,No,Yes,No,Yes,No,2,2,4610,7376.0
Boadi,Yes,No,No,No,No,No,No,No,No,4,4,2600,3380.0
Bomsu,No,No,Yes,Yes,No,Yes,No,Yes,No,3,3,4010,4411.0
Atonsu,Yes,No,Yes,No,Yes,No,No,Yes,No,2,2,4440,5772.0
Ayeduase,No,No,No,No,No,No,Yes,Yes,No,3,3,3800,5700.0
Campus,Yes,No,Yes,Yes,Yes,No,Yes,No,No,1,1,6400,10240.0
Campus,No,Yes,Yes,No,No,No,Yes,No,Yes,3,3,3920,6272.0
Newsite,No,No,Yes,No,Yes,No,No,No,Yes,3,3,3760,4136.0
Bomsu,No,No,No,Yes,Yes,Yes,No,No,No,1,1,6250,6875.000000000001
Tech junction,No,Yes,No,Yes,Yes,No,Yes,No,No,4,4,2800,3640.0
Bomsu,No,No,No,No,No,No,Yes,Yes,Yes,2,2,4420,4862.0
Tech junction,Yes,Yes,Yes,No,No,Yes,No,No,No,4,4,2950,3835.0
Newsite,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3,3,4220,4642.0
Kotei,No,Yes,Yes,No,Yes,Yes,No,No,No,4,4,2890,4045.9999999999995
Atonsu,Yes,Yes,No,No,No,Yes,Yes,No,Yes,3,3,4070,5291.0
Campus,Yes,No,Yes,Yes,No,No,No,No,Yes,1,1,6380,10208.0
Newsite,Yes,Yes,No,Yes,No,No,No,No,No,4,4,2760,3036.0000000000005
Tech junction,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3,3,4310,5603.0
Bomsu,No,Yes,No,No,No,Yes,Yes,Yes,Yes,1,1,6670,7337.000000000001
Campus,No,No,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3950,6320.0
Bomsu,No,Yes,Yes,Yes,No,No,Yes,No,Yes,3,3,3980,4378.0
Boadi,No,No,No,Yes,No,No,No,Yes,No,1,1,6260,8138.0
Boadi,Yes,Yes,Yes,No,Yes,No,No,No,Yes,1,1,6460,8398.0
Atonsu,No,No,Yes,No,No,No,No,No,No,2,2,4100,5330.0
Boadi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,2,4870,6331.0
Campus,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3,3,4180,6688.0
Tech junction,Yes,Yes,No,No,Yes,No,No,No,Yes,2,2,4360,5668.0
Kotei,No,No,Yes,Yes,Yes,Yes,No,No,No,4,4,2850,3989.9999999999995
